random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,25,5500,100.0,50,1.0,0.05,1e-06,0.5,10,100,46.618183,46.672726,57.49091,58.0,58.999996,70.0
0,25,5500,100.0,50,1.0,0.05,5e-06,0.5,10,100,46.618183,46.672726,57.49091,58.0,58.999996,70.0
0,50,5500,100.0,50,1.0,0.05,5e-06,0.5,10,100,48.072727,48.163635,57.072727,58.0,61.0,66.0
0,50,5500,100.0,50,1.0,0.05,1e-06,0.5,10,100,48.072727,48.163635,57.072727,58.0,61.0,66.0
0,25,5500,100.0,50,1.0,0.05,1e-07,0.5,10,100,46.618183,46.672726,57.49091,58.0,58.999996,70.0
0,50,5500,100.0,50,1.0,0.05,1e-07,0.5,10,100,48.072727,48.163635,57.072727,58.0,61.0,66.0
0,25,5500,100.0,50,1.0,0.25,1e-07,0.5,10,100,47.145454,47.418182,53.072727,58.0,58.0,66.0
0,25,5500,100.0,50,1.0,0.25,1e-06,0.5,10,100,47.145454,47.418182,53.072727,58.0,58.0,66.0
0,50,5500,100.0,50,1.0,0.25,1e-06,0.5,10,100,47.872726,47.854546,55.418182,60.000004,60.000004,66.0
0,50,5500,100.0,50,1.0,0.25,1e-07,0.5,10,100,47.872726,47.854546,55.418182,60.000004,60.000004,66.0
0,100,5500,100.0,50,1.0,0.05,5e-06,0.5,10,100,47.763638,47.945454,57.927273,63.0,64.0,68.0
0,100,5500,100.0,50,1.0,0.05,1e-06,0.5,10,100,47.763638,47.945454,57.927273,63.0,64.0,68.0
0,100,5500,100.0,50,1.0,0.05,1e-07,0.5,10,100,47.763638,47.945454,57.927273,63.0,64.0,68.0
0,50,5500,100.0,50,1.0,0.625,1e-06,0.5,10,100,47.963634,48.036366,51.98182,60.000004,58.999996,65.0
0,50,5500,100.0,50,1.0,0.625,1e-07,0.5,10,100,47.963634,48.036366,51.98182,60.000004,58.999996,65.0
0,25,5500,100.0,50,1.0,0.25,5e-06,0.5,10,100,47.145454,47.418182,53.072727,58.0,58.0,66.0
0,25,5500,100.0,50,1.0,0.625,1e-07,0.5,10,100,44.81818,44.927273,50.545456,54.000004,52.999996,68.0
0,25,5500,100.0,50,1.0,0.625,1e-06,0.5,10,100,44.81818,44.927273,50.545456,54.000004,52.999996,68.0
0,50,5500,100.0,50,1.0,1.0,1e-07,0.5,10,100,46.49091,46.836365,50.78182,57.0,56.0,64.0
0,50,5500,100.0,50,1.0,0.25,5e-06,0.5,10,100,47.872726,47.854546,55.418182,60.000004,60.000004,66.0
0,100,5500,100.0,50,1.0,0.25,1e-07,0.5,10,100,47.036366,47.47273,53.8,60.000004,60.000004,66.0
0,100,5500,100.0,50,1.0,0.25,5e-06,0.5,10,100,47.036366,47.47273,53.8,60.000004,60.000004,66.0
0,50,5500,100.0,50,1.0,1.0,5e-06,0.5,10,100,46.49091,46.836365,50.78182,57.0,56.0,64.0
0,50,5500,100.0,50,1.0,0.625,5e-06,0.5,10,100,47.963634,48.036366,51.98182,60.000004,58.999996,65.0
