random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,100,6750,100.0,50,1.0,0.05,1e-06,0.5,10,250,45.703705,45.748146,50.91852,77.200005,77.200005,76.0
0,100,6750,100.0,50,1.0,0.05,1e-07,0.5,10,250,45.703705,45.748146,50.91852,77.200005,77.200005,76.0
0,100,6750,100.0,50,1.0,0.05,5e-06,0.5,10,250,45.703705,45.748146,50.91852,77.200005,77.200005,76.0
0,100,6750,100.0,50,1.0,0.25,1e-07,0.5,10,250,40.459255,40.28148,48.903706,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,0.25,1e-06,0.5,10,250,40.459255,40.28148,48.903706,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,0.25,5e-06,0.5,10,250,40.459255,40.28148,48.903706,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,1.0,5e-06,0.5,10,250,41.67407,41.73333,49.140743,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,0.625,5e-06,0.5,10,250,40.148148,40.05926,49.244442,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,0.625,1e-07,0.5,10,250,40.148148,40.05926,49.244442,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,0.625,1e-06,0.5,10,250,40.148148,40.05926,49.244442,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,1.0,1e-06,0.5,10,250,41.67407,41.73333,49.140743,76.0,76.0,76.0
0,100,6750,100.0,50,1.0,1.0,1e-07,0.5,10,250,41.67407,41.73333,49.140743,76.0,76.0,76.0
0,100,6750,100.0,100,1.0,0.05,1e-07,0.5,10,250,43.170364,43.14074,51.718513,78.4,78.4,76.0
0,100,6750,100.0,100,1.0,0.05,1e-06,0.5,10,250,43.170364,43.14074,51.718513,78.4,78.4,76.0
0,100,6750,100.0,100,1.0,0.05,5e-06,0.5,10,250,43.170364,43.14074,51.718513,78.4,78.4,76.0
0,100,6750,100.0,100,1.0,0.25,1e-06,0.5,10,250,40.148148,40.192596,49.644444,86.0,86.0,83.200005
0,200,6750,100.0,50,1.0,0.05,5e-06,0.5,10,250,43.08148,43.081486,51.214817,77.600006,77.600006,76.0
0,100,6750,100.0,100,1.0,0.25,5e-06,0.5,10,250,40.148148,40.192596,49.644444,86.0,86.0,83.200005
0,200,6750,100.0,50,1.0,0.05,1e-06,0.5,10,250,43.08148,43.081486,51.214817,77.600006,77.600006,76.0
