random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,norm,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,100,16000,100.0,250,1.0,1.0,0.001,75.0,0.5,10,100,46.325,46.76875,49.00625,61.0,61.0,69.0
1,100,16000,100.0,250,1.0,1.0,0.001,50.0,0.5,10,100,45.56875,45.69375,45.79375,61.0,63.0,62.0
1,100,16000,100.0,250,1.0,1.0,0.001,37.5,0.5,10,100,43.15,43.14375,43.54375,60.000004,61.0,57.0
1,100,16000,100.0,250,1.0,1.0,0.0001,62.575,0.5,10,100,48.21875,48.45,50.74375,62.0,63.0,64.0
1,100,16000,100.0,250,1.0,1.0,0.0001,50.0,0.5,10,100,48.1875,48.525,49.34375,60.000004,61.0,61.0
1,100,16000,100.0,250,1.0,1.0,0.0001,37.5,0.5,10,100,45.5625,45.9875,46.00625,60.000004,60.000004,58.0
1,100,16000,100.0,250,1.0,1.0,0.0001,75.0,0.5,10,100,48.45625,48.98125,51.1625,64.0,66.0,64.0
1,100,16000,100.0,250,1.0,1.0,1e-05,62.575,0.5,10,100,50.4375,50.65,54.8625,66.0,67.0,71.0
1,100,16000,100.0,250,1.0,1.0,1e-05,37.5,0.5,10,100,50.525,50.70625,53.6625,64.0,64.0,67.0
1,100,16000,100.0,250,1.0,1.0,1e-05,87.5,0.5,10,100,50.8625,50.9375,53.44375,69.0,67.0,68.0
1,100,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,49.7125,49.78125,53.85625,67.0,68.0,69.0
1,100,16000,100.0,250,1.0,1.0,0.0001,87.5,0.5,10,100,47.36875,47.65625,50.66875,65.0,65.0,63.0
1,100,16000,100.0,250,1.0,1.0,0.001,87.5,0.5,10,100,45.6375,45.88125,48.35625,61.0,61.0,64.0
1,100,16000,100.0,250,1.0,5.0,1e-05,62.575,0.5,10,100,50.30625,50.04375,53.1875,68.0,66.0,69.0
1,100,16000,100.0,250,1.0,5.0,1e-05,37.5,0.5,10,100,51.6875,51.9125,54.825,66.0,67.0,72.0
1,100,16000,100.0,250,1.0,5.0,1e-05,75.0,0.5,10,100,49.48125,49.44375,52.56875,72.0,73.0,70.0
1,100,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,50.61875,50.75625,53.925,69.0,68.0,70.0
1,100,16000,100.0,250,1.0,5.0,1e-05,87.5,0.5,10,100,50.1625,50.03125,51.6875,69.0,70.0,68.0
1,100,16000,100.0,250,1.0,5.0,0.001,37.5,0.5,10,100,46.4875,46.875,47.3125,58.999996,58.999996,61.0
1,100,16000,100.0,250,1.0,5.0,0.0001,87.5,0.5,10,100,51.825,51.74375,53.10625,66.0,66.0,66.0
1,100,16000,100.0,250,1.0,5.0,0.0001,62.575,0.5,10,100,51.49375,51.675,53.675,65.0,66.0,68.0
1,100,16000,100.0,250,1.0,5.0,0.0001,50.0,0.5,10,100,51.4,51.5875,53.49375,66.0,67.0,68.0
1,100,16000,100.0,250,1.0,5.0,0.0001,37.5,0.5,10,100,48.73125,49.225,51.0625,65.0,65.0,67.0
1,100,16000,100.0,250,1.0,5.0,0.0001,75.0,0.5,10,100,51.7625,51.88125,53.675,64.0,65.0,67.0
1,100,16000,100.0,250,1.0,5.0,0.001,75.0,0.5,10,100,50.8,51.0875,51.71875,64.0,66.0,71.0
1,100,16000,100.0,250,1.0,5.0,0.001,62.575,0.5,10,100,51.30625,51.475,51.75,66.0,66.0,66.0
1,100,16000,100.0,250,1.0,10.0,0.001,87.5,0.5,10,100,53.01875,52.975,52.88125,65.0,64.0,67.0
1,100,16000,100.0,250,1.0,10.0,0.001,50.0,0.5,10,100,52.10625,52.2375,52.7,64.0,67.0,66.0
1,100,16000,100.0,250,1.0,10.0,0.001,75.0,0.5,10,100,53.2375,53.30625,53.16875,65.0,64.0,70.0
1,100,16000,100.0,250,1.0,10.0,0.001,37.5,0.5,10,100,48.475,48.95625,49.9125,64.0,66.0,65.0
1,100,16000,100.0,250,1.0,10.0,0.0001,50.0,0.5,10,100,51.05,51.11875,53.325,63.0,64.0,65.0
1,100,16000,100.0,250,1.0,10.0,0.0001,75.0,0.5,10,100,51.2375,51.4875,53.24375,68.0,69.0,67.0
1,100,16000,100.0,250,1.0,10.0,0.0001,62.575,0.5,10,100,51.24375,51.3625,53.61875,68.0,67.0,71.0
1,100,16000,100.0,250,1.0,10.0,0.0001,87.5,0.5,10,100,51.50625,51.4,52.18125,66.0,69.0,66.0
1,100,16000,100.0,250,1.0,10.0,0.0001,37.5,0.5,10,100,51.93125,52.2,52.24375,62.0,63.0,66.0
1,100,16000,100.0,250,1.0,10.0,1e-05,50.0,0.5,10,100,50.3125,50.4875,52.36875,68.0,67.0,69.0
1,200,16000,100.0,250,1.0,1.0,0.0001,87.5,0.5,10,100,49.58125,49.875,52.31875,62.0,63.0,65.0
1,100,16000,100.0,250,1.0,10.0,1e-05,37.5,0.5,10,100,51.1125,51.4875,52.525,71.0,71.0,71.0
1,100,16000,100.0,250,1.0,10.0,1e-05,75.0,0.5,10,100,48.31875,48.3125,51.41875,70.0,67.0,69.0
1,200,16000,100.0,250,1.0,1.0,0.0001,75.0,0.5,10,100,49.525,50.0875,51.4125,65.0,64.0,68.0
1,100,16000,100.0,250,1.0,10.0,1e-05,87.5,0.5,10,100,47.98125,47.99375,50.375,68.0,69.0,69.0
1,200,16000,100.0,250,1.0,1.0,1e-05,62.575,0.5,10,100,55.825,55.89375,57.4625,71.0,71.0,69.0
1,100,16000,100.0,250,1.0,10.0,1e-05,62.575,0.5,10,100,49.26875,49.3375,51.90625,71.0,70.0,69.0
1,200,16000,100.0,250,1.0,5.0,0.0001,87.5,0.5,10,100,55.30625,55.49375,55.975,68.0,68.0,69.0
1,200,16000,100.0,250,1.0,5.0,0.0001,62.575,0.5,10,100,55.36875,55.475,55.25625,68.0,69.0,70.0
1,200,16000,100.0,250,1.0,1.0,0.0001,50.0,0.5,10,100,48.4875,49.0375,49.36875,62.0,62.0,65.0
1,200,16000,100.0,250,1.0,5.0,0.001,75.0,0.5,10,100,49.55625,49.65,51.53125,64.0,63.0,65.0
1,200,16000,100.0,250,1.0,1.0,0.001,87.5,0.5,10,100,47.55,47.7,48.63125,60.000004,61.0,67.0
1,200,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,55.4625,55.28125,57.56875,71.0,71.0,70.0
1,200,16000,100.0,250,1.0,1.0,0.001,75.0,0.5,10,100,48.05,48.13125,49.64375,61.0,61.0,61.0
1,200,16000,100.0,250,1.0,1.0,0.001,50.0,0.5,10,100,44.7375,45.04375,45.94375,62.0,64.0,61.0
1,200,16000,100.0,250,1.0,1.0,1e-05,37.5,0.5,10,100,53.05,53.4,55.7125,66.0,65.0,67.0
1,200,16000,100.0,250,1.0,1.0,0.001,62.575,0.5,10,100,46.15,46.39375,47.85625,60.000004,60.000004,62.0
1,200,16000,100.0,250,1.0,1.0,1e-05,87.5,0.5,10,100,54.4,54.1875,57.23125,69.0,67.0,72.0
1,200,16000,100.0,250,1.0,5.0,0.001,50.0,0.5,10,100,47.65,47.725,49.825,64.0,63.0,63.0
1,200,16000,100.0,250,1.0,5.0,0.0001,50.0,0.5,10,100,53.775,53.95625,53.85,66.0,66.0,67.0
1,200,16000,100.0,250,1.0,5.0,0.001,37.5,0.5,10,100,45.46875,45.94375,47.24375,61.0,63.0,62.0
1,200,16000,100.0,250,1.0,5.0,0.0001,37.5,0.5,10,100,51.79375,52.1375,51.93125,64.0,63.0,64.0
1,200,16000,100.0,250,1.0,5.0,0.001,87.5,0.5,10,100,50.6625,50.5375,51.43125,62.0,62.0,64.0
1,200,16000,100.0,250,1.0,1.0,0.0001,62.575,0.5,10,100,48.8,49.4,50.475,62.0,63.0,65.0
