random_seed,n_neurons,n_train,start_inhib,max_inhib,p_low,norm,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
13,100,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,52.275,52.48125,53.825,63.0,63.0,65.0
11,100,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,51.53125,51.64375,53.825,68.0,67.0,70.0
15,100,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,49.96875,50.1375,53.35625,66.0,66.0,68.0
11,100,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,51.53125,51.64375,53.825,68.0,67.0,70.0
15,100,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,49.96875,50.1375,53.35625,66.0,66.0,68.0
12,100,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,50.8,51.0125,52.6,71.0,72.0,69.0
11,100,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,51.53125,51.64375,53.825,68.0,67.0,70.0
15,100,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,49.96875,50.1375,53.35625,66.0,66.0,68.0
14,100,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,51.10625,51.275,52.29375,71.0,70.0,68.0
13,100,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,52.275,52.48125,53.825,63.0,63.0,65.0
14,100,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,51.10625,51.275,52.29375,71.0,70.0,68.0
12,100,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,50.8,51.0125,52.6,71.0,72.0,69.0
14,100,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.1625,45.08125,46.40625,61.0,61.0,67.0
13,100,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.125,47.225,47.175,62.0,62.0,63.0
12,100,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.2375,46.24375,46.45625,60.000004,60.000004,62.0
13,100,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.09375,46.28125,46.8375,61.0,61.0,63.0
14,100,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.7375,44.1875,45.83125,66.0,66.0,65.0
11,100,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.04375,45.1,46.1875,66.0,66.0,65.0
13,200,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.6875,56.0125,57.99375,69.0,68.0,72.0
11,100,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.83125,45.80625,46.49375,65.0,65.0,65.0
15,100,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.39375,44.60625,45.9625,58.999996,58.0,64.0
15,100,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.46875,44.69375,45.49375,65.0,64.0,67.0
13,100,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.23125,45.425,46.03125,60.000004,61.0,62.0
14,100,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.88125,44.24375,45.39375,66.0,66.0,66.0
11,200,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,56.2875,56.69375,58.01875,70.0,71.0,71.0
14,200,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.10625,55.075,56.96875,74.0,73.0,72.0
15,200,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.70625,56.125,57.5875,69.0,70.0,69.0
15,100,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,42.13125,42.46875,43.15625,56.0,57.0,63.0
12,100,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.95625,41.26875,42.81875,55.0,56.0,58.999996
14,100,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,42.00625,42.15,42.5875,57.0,57.0,61.0
11,100,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.53125,43.99375,44.15625,61.0,61.0,64.0
14,100,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.425,39.6875,40.95625,55.0,55.0,62.0
14,100,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,38.45,38.8625,41.575,55.0,55.0,63.0
12,100,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.0125,40.31875,41.80625,55.0,56.0,58.0
13,100,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.35625,41.71875,43.1625,57.0,57.0,58.999996
13,100,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,38.95,39.4625,41.6875,58.0,58.0,58.999996
12,200,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.0,54.95,57.50625,67.0,69.0,71.0
12,100,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,38.1625,38.38125,41.1,57.0,57.0,62.0
12,100,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.63125,44.93125,45.55,60.000004,60.000004,63.0
12,200,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.0,54.95,57.50625,67.0,69.0,71.0
11,100,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.04375,40.175,41.21875,58.999996,58.999996,64.0
11,100,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.83125,46.91875,47.55,62.0,63.0,65.0
