seed,n_train,time,lr,lr_decay,update_interval,wmin,wmax,norm,mean_accuracy,max_accuracy
0,60000,10,0.05,0.9,-10.0,0.1,50.0,500,22.682001,39.0
0,60000,10,0.05,0.99,-10.0,1.0,50.0,500,9.974,13.0
0,60000,10,0.001,0.9,-10.0,1.0,250.0,500,30.701998,39.399998
0,60000,10,0.001,0.95,-10.0,0.1,100.0,500,29.827997,37.4
0,60000,10,0.001,0.95,-1.0,0.1,100.0,500,29.816002,39.6
0,60000,10,0.001,0.95,-1.0,0.1,250.0,500,29.404001,40.2
0,60000,10,0.001,0.95,-1.0,1.0,50.0,500,29.086,38.4
0,60000,10,0.001,0.95,-10.0,1.0,250.0,500,29.526,39.399998
0,60000,10,0.001,0.95,-1.0,1.0,100.0,500,29.895998,38.800003
0,60000,10,0.05,0.9,-0.1,1.0,100.0,500,24.092,38.600002
0,60000,10,0.001,0.99,-1.0,1.0,250.0,500,24.840002,30.4
0,60000,10,0.05,0.9,-1.0,1.0,100.0,500,24.414001,39.2
0,60000,10,0.05,0.9,-1.0,10.0,100.0,500,24.231997,40.4
0,60000,10,0.001,0.9,-10.0,10.0,250.0,500,30.097998,37.6
0,60000,10,0.001,0.95,-1.0,10.0,50.0,500,28.88,38.4
0,60000,10,0.001,0.9,-0.1,0.1,50.0,500,31.659998,38.0
0,60000,10,0.05,0.95,-1.0,0.1,50.0,500,13.165999,27.4
0,60000,10,0.001,0.9,-10.0,0.1,50.0,500,31.734,39.2
0,60000,10,0.001,0.95,-10.0,1.0,50.0,500,28.91,40.8
0,60000,10,0.001,0.9,-0.1,1.0,50.0,500,31.73,39.8
0,60000,10,0.001,0.95,-1.0,10.0,100.0,500,29.702,38.2
0,60000,10,0.001,0.9,-10.0,1.0,50.0,500,31.772,39.6
0,60000,10,0.001,0.9,-10.0,10.0,100.0,500,31.676003,40.0
0,60000,10,0.001,0.9,-1.0,1.0,50.0,500,31.782,38.600002
0,60000,10,0.001,0.9,-1.0,10.0,50.0,500,31.834,38.4
0,60000,10,0.001,0.95,-10.0,0.1,50.0,500,28.97,38.600002
0,60000,10,0.001,0.9,-0.1,10.0,50.0,500,31.716002,38.600002
0,60000,10,0.001,0.95,-10.0,0.1,250.0,500,29.606,37.6
0,60000,10,0.001,0.9,-10.0,0.1,250.0,500,30.631996,37.8
0,60000,10,0.001,0.9,-10.0,0.1,100.0,500,32.12,39.8
0,60000,10,0.001,0.95,-1.0,0.1,50.0,500,28.873999,38.600002
0,60000,10,0.001,0.95,-10.0,10.0,50.0,500,28.8,38.600002
0,60000,10,0.001,0.9,-1.0,1.0,250.0,500,30.153997,37.0
0,60000,10,0.001,0.9,-0.1,0.1,100.0,500,31.853998,38.800003
0,60000,10,0.001,0.9,-0.1,1.0,250.0,500,30.383997,38.4
0,60000,10,0.001,0.9,-1.0,0.1,250.0,500,30.519997,37.6
0,60000,10,0.001,0.9,-0.1,1.0,100.0,500,31.878,40.6
0,60000,10,0.001,0.9,-1.0,0.1,100.0,500,32.118,39.6
0,60000,10,0.001,0.9,-10.0,1.0,100.0,500,31.92,41.0
