seed,n_train,time,lr,lr_decay,update_interval,max_prob,mean_accuracy,max_accuracy
0,60000,10,0.001,0.95,500,1.0,76.21333,82.6
0,60000,10,0.001,0.9,500,1.0,74.30333,80.6
0,60000,10,0.001,0.99,500,1.0,76.24167,83.0
0,60000,10,0.01,0.95,500,1.0,79.729996,88.8
0,60000,10,0.005,1.0,500,1.0,72.81834,79.2
0,60000,10,0.001,1.0,500,1.0,75.31501,82.6
0,60000,10,0.005,0.99,500,1.0,76.30334,84.4
2,60000,10,0.001,0.9,500,1.0,74.490005,80.2
0,60000,10,0.01,0.99,500,1.0,72.35,79.6
0,60000,10,0.01,0.9,500,1.0,81.01333,88.0
0,60000,10,0.005,0.9,500,1.0,80.3,88.4
1,60000,10,0.01,0.95,500,1.0,79.95167,87.6
1,60000,10,0.005,0.95,500,1.0,80.21166,87.4
2,60000,10,0.001,0.99,500,1.0,75.92167,81.6
2,60000,10,0.005,0.95,500,1.0,80.12,88.200005
2,60000,10,0.01,0.95,500,1.0,79.941666,88.0
2,60000,10,0.001,0.95,500,1.0,76.020004,82.8
2,60000,10,0.01,0.99,500,1.0,72.558334,80.8
1,60000,10,0.001,0.9,500,1.0,74.96333,81.0
1,60000,10,0.001,0.99,500,1.0,76.36833,82.6
1,60000,10,0.001,1.0,500,1.0,75.585,82.0
1,60000,10,0.005,0.99,500,1.0,76.42166,83.600006
1,60000,10,0.001,0.95,500,1.0,76.454994,83.8
2,60000,10,0.005,0.99,500,1.0,76.034996,82.8
2,60000,10,0.001,1.0,500,1.0,75.229996,81.0
2,60000,10,0.01,0.9,500,1.0,80.865,88.8
1,60000,10,0.01,0.9,500,1.0,80.93167,87.6
1,60000,10,0.005,1.0,500,1.0,72.84834,78.2
2,60000,10,0.005,1.0,500,1.0,72.73499,78.2
1,60000,10,0.01,1.0,500,1.0,66.29666,72.799995
1,60000,10,0.01,0.99,500,1.0,72.61667,81.8
3,60000,10,0.001,0.9,500,1.0,74.215,79.799995
4,60000,10,0.01,0.9,500,1.0,80.86167,87.8
3,60000,10,0.005,0.95,500,1.0,80.01499,86.0
4,60000,10,0.005,1.0,500,1.0,72.83166,79.4
0,60000,10,0.005,0.95,500,1.0,80.05667,88.200005
3,60000,10,0.001,0.99,500,1.0,76.15833,83.4
4,60000,10,0.001,0.9,500,1.0,74.805,80.4
4,60000,10,0.01,0.99,500,1.0,72.55,81.2
3,60000,10,0.01,0.9,500,1.0,80.628334,87.0
4,60000,10,0.01,1.0,500,1.0,66.42333,73.6
4,60000,10,0.001,1.0,500,1.0,75.425,83.600006
3,60000,10,0.001,0.95,500,1.0,75.903336,82.200005
3,60000,10,0.01,0.95,500,1.0,79.92667,86.6
4,60000,10,0.001,0.95,500,1.0,76.36333,82.8
3,60000,10,0.005,1.0,500,1.0,72.87666,80.0
2,60000,10,0.005,0.9,500,1.0,80.33667,86.799995
2,60000,10,0.01,1.0,500,1.0,66.385,71.8
0,60000,10,0.01,1.0,500,1.0,66.43333,71.6
4,60000,10,0.005,0.99,500,1.0,76.3,85.6
3,60000,10,0.005,0.99,500,1.0,76.189995,83.600006
3,60000,10,0.001,1.0,500,1.0,75.27166,81.2
4,60000,10,0.005,0.9,500,1.0,80.6,86.799995
3,60000,10,0.01,1.0,500,1.0,66.44833,72.2
4,60000,10,0.005,0.95,500,1.0,80.30999,87.2
1,60000,10,0.005,0.9,500,1.0,80.61167,87.2
4,60000,10,0.001,0.99,500,1.0,76.33667,83.4
3,60000,10,0.01,0.99,500,1.0,72.43,81.8
3,60000,10,0.005,0.9,500,1.0,79.745,85.6
4,60000,10,0.01,0.95,500,1.0,80.06166,89.0
0,60000,25,0.01,0.9,500,1.0,79.30666,88.8
0,60000,25,0.005,0.95,500,1.0,79.32334,88.4
1,60000,25,0.001,0.9,500,1.0,78.60334,83.4
0,60000,25,0.005,1.0,500,1.0,62.058334,69.2
2,60000,25,0.005,0.9,500,1.0,80.73167,87.8
0,60000,25,0.001,0.99,500,1.0,76.54667,83.8
2,60000,25,0.01,0.9,500,1.0,79.356674,87.2
0,60000,25,0.01,0.95,500,1.0,76.20333,87.8
1,60000,25,0.005,0.9,500,1.0,80.84333,86.799995
0,60000,25,0.001,0.95,500,1.0,78.854996,85.399994
2,60000,25,0.01,0.95,500,1.0,76.39001,86.0
0,60000,25,0.001,0.9,500,1.0,78.42834,84.4
0,60000,25,0.001,1.0,500,1.0,74.78833,82.4
0,60000,25,0.01,1.0,500,1.0,46.975,54.000004
2,60000,25,0.001,0.99,500,1.0,76.685005,82.6
1,60000,25,0.001,1.0,500,1.0,75.00168,81.0
1,60000,25,0.005,0.99,500,1.0,69.93,78.799995
2,60000,25,0.005,1.0,500,1.0,62.38,71.200005
4,60000,25,0.001,0.9,500,1.0,78.69334,84.2
1,60000,25,0.01,0.95,500,1.0,76.278336,86.799995
2,60000,25,0.001,0.95,500,1.0,78.75833,86.4
1,60000,25,0.01,0.9,500,1.0,79.505,87.4
2,60000,25,0.001,1.0,500,1.0,74.71834,80.2
2,60000,25,0.005,0.95,500,1.0,79.426674,87.4
0,60000,25,0.01,0.99,500,1.0,59.739998,71.8
2,60000,25,0.001,0.9,500,1.0,78.47834,85.399994
1,60000,25,0.001,0.99,500,1.0,76.82333,83.600006
1,60000,25,0.01,0.99,500,1.0,60.219997,73.4
2,60000,25,0.01,1.0,500,1.0,47.881664,55.199997
1,60000,25,0.001,0.95,500,1.0,79.08833,86.2
1,60000,25,0.005,1.0,500,1.0,62.47667,68.4
2,60000,25,0.01,0.99,500,1.0,60.39333,73.2
3,60000,25,0.001,0.9,500,1.0,78.170006,84.0
3,60000,25,0.005,0.95,500,1.0,79.29666,87.2
0,60000,25,0.005,0.9,500,1.0,80.80166,88.6
4,60000,25,0.01,0.95,500,1.0,76.43166,88.200005
3,60000,25,0.01,1.0,500,1.0,47.308334,54.2
3,60000,25,0.01,0.9,500,1.0,79.331665,86.799995
4,60000,25,0.005,0.95,500,1.0,79.345,87.6
3,60000,25,0.01,0.95,500,1.0,76.25833,86.6
4,60000,25,0.001,1.0,500,1.0,74.96167,82.0
4,60000,25,0.01,0.9,500,1.0,79.229996,87.6
3,60000,25,0.005,0.99,500,1.0,70.025,79.4
3,60000,25,0.001,0.99,500,1.0,76.668335,83.200005
4,60000,25,0.001,0.95,500,1.0,79.175,86.0
3,60000,25,0.001,0.95,500,1.0,78.71333,85.399994
3,60000,25,0.005,1.0,500,1.0,62.616665,69.0
4,60000,25,0.005,0.99,500,1.0,69.97834,79.2
4,60000,25,0.005,1.0,500,1.0,62.131668,67.799995
0,60000,25,0.005,0.99,500,1.0,69.996666,79.2
3,60000,25,0.01,0.99,500,1.0,60.114998,73.2
3,60000,25,0.001,1.0,500,1.0,74.98499,80.2
4,60000,25,0.01,1.0,500,1.0,47.460003,54.000004
1,60000,25,0.01,1.0,500,1.0,47.289997,53.8
4,60000,25,0.001,0.99,500,1.0,76.72667,83.4
1,60000,25,0.005,0.95,500,1.0,79.22334,87.0
4,60000,25,0.01,0.99,500,1.0,60.170002,74.8
4,60000,25,0.005,0.9,500,1.0,80.53667,86.799995
2,60000,25,0.005,0.99,500,1.0,69.933334,78.4
3,60000,25,0.005,0.9,500,1.0,80.26333,86.0
0,60000,50,0.01,0.9,500,1.0,76.87,88.8
0,60000,50,0.005,0.95,500,1.0,75.965004,87.4
0,60000,50,0.01,0.95,500,1.0,71.12667,88.4
0,60000,50,0.001,0.99,500,1.0,75.708336,84.6
0,60000,50,0.01,1.0,500,1.0,28.821667,37.2
0,60000,50,0.005,0.9,500,1.0,79.28667,88.0
1,60000,50,0.001,0.95,500,1.0,80.079994,86.0
1,60000,50,0.001,0.99,500,1.0,75.93833,83.0
3,60000,50,0.001,0.95,500,1.0,79.848335,86.4
0,60000,50,0.01,0.99,500,1.0,44.545002,62.0
0,60000,50,0.005,0.99,500,1.0,59.61,70.8
1,60000,50,0.001,0.9,500,1.0,80.445,86.2
0,60000,50,0.001,0.9,500,1.0,80.10667,87.8
2,60000,50,0.001,0.99,500,1.0,75.768326,82.4
1,60000,50,0.005,0.9,500,1.0,79.208336,86.6
2,60000,50,0.01,0.95,500,1.0,71.43,86.2
0,60000,50,0.001,1.0,500,1.0,72.295006,78.2
1,60000,50,0.005,1.0,500,1.0,47.05167,54.4
2,60000,50,0.001,0.9,500,1.0,80.235,87.0
1,60000,50,0.01,0.9,500,1.0,77.16167,88.200005
2,60000,50,0.005,0.9,500,1.0,79.26501,88.0
3,60000,50,0.001,0.9,500,1.0,79.84667,86.6
1,60000,50,0.01,1.0,500,1.0,29.453337,37.2
1,60000,50,0.005,0.99,500,1.0,59.531666,71.4
1,60000,50,0.01,0.95,500,1.0,70.98333,86.6
2,60000,50,0.005,0.95,500,1.0,76.18833,86.6
1,60000,50,0.001,1.0,500,1.0,72.16833,78.0
1,60000,50,0.005,0.95,500,1.0,76.15,87.0
4,60000,50,0.005,0.9,500,1.0,79.32333,86.6
2,60000,50,0.005,0.99,500,1.0,59.914997,73.799995
4,60000,50,0.005,1.0,500,1.0,46.641666,53.8
3,60000,50,0.005,0.9,500,1.0,79.195,86.2
3,60000,50,0.01,0.95,500,1.0,70.93834,87.2
4,60000,50,0.01,1.0,500,1.0,29.051668,38.2
4,60000,50,0.001,0.95,500,1.0,79.98667,87.0
4,60000,50,0.01,0.9,500,1.0,76.98167,86.6
4,60000,50,0.001,0.99,500,1.0,76.08499,83.8
3,60000,50,0.005,0.99,500,1.0,59.77333,73.0
2,60000,50,0.01,1.0,500,1.0,29.241667,35.2
3,60000,50,0.001,1.0,500,1.0,72.416664,77.600006
2,60000,50,0.005,1.0,500,1.0,46.881664,53.8
1,60000,50,0.01,0.99,500,1.0,44.45,62.4
4,60000,50,0.01,0.95,500,1.0,71.27334,87.6
3,60000,50,0.01,0.99,500,1.0,44.486668,63.6
4,60000,50,0.001,0.9,500,1.0,80.38333,86.2
3,60000,50,0.01,1.0,500,1.0,29.05,36.8
3,60000,50,0.01,0.9,500,1.0,76.75,86.2
3,60000,50,0.001,0.99,500,1.0,75.863335,82.200005
4,60000,50,0.005,0.95,500,1.0,76.24834,88.0
2,60000,50,0.001,0.95,500,1.0,79.95999,87.2
4,60000,50,0.001,1.0,500,1.0,72.13667,78.4
2,60000,50,0.01,0.9,500,1.0,76.941666,87.4
3,60000,50,0.005,1.0,500,1.0,46.85,53.600002
2,60000,50,0.01,0.99,500,1.0,44.581665,62.800003
0,60000,50,0.005,1.0,500,1.0,46.466667,54.000004
4,60000,50,0.005,0.99,500,1.0,59.805004,72.2
3,60000,50,0.005,0.95,500,1.0,76.06333,86.0
2,60000,50,0.001,1.0,500,1.0,72.29,77.200005
4,60000,50,0.01,0.99,500,1.0,43.981667,64.600006
0,60000,50,0.001,0.95,500,1.0,79.85832,88.200005
1,60000,75,0.001,0.95,500,1.0,80.08,87.8
0,60000,75,0.01,0.9,500,1.0,74.68167,89.200005
0,60000,75,0.001,0.9,500,1.0,80.628334,88.8
0,60000,75,0.005,0.9,500,1.0,77.86667,88.4
2,60000,75,0.005,0.9,500,1.0,77.881676,86.799995
1,60000,75,0.01,0.9,500,1.0,75.115,87.6
1,60000,75,0.01,0.95,500,1.0,67.10833,85.799995
3,60000,75,0.001,0.95,500,1.0,79.8,86.2
0,60000,75,0.001,1.0,500,1.0,68.846664,73.799995
0,60000,75,0.001,0.95,500,1.0,79.916664,88.6
1,60000,75,0.001,0.9,500,1.0,80.86667,86.4
0,60000,75,0.01,0.99,500,1.0,34.321667,50.199997
1,60000,75,0.001,0.99,500,1.0,74.081665,82.0
0,60000,75,0.001,0.99,500,1.0,73.90666,81.2
0,60000,75,0.005,0.99,500,1.0,50.931664,66.799995
0,60000,75,0.01,0.95,500,1.0,67.02167,87.2
0,60000,75,0.01,1.0,500,1.0,20.753332,26.6
2,60000,75,0.001,0.9,500,1.0,80.72668,88.200005
3,60000,75,0.005,1.0,500,1.0,35.826668,43.399998
0,60000,75,0.005,1.0,500,1.0,35.775,44.600002
3,60000,75,0.01,0.9,500,1.0,74.74834,86.2
2,60000,75,0.005,0.95,500,1.0,73.50166,86.2
3,60000,75,0.001,0.9,500,1.0,80.295006,86.4
1,60000,75,0.005,0.95,500,1.0,73.420006,86.2
2,60000,75,0.01,1.0,500,1.0,21.148335,28.2
1,60000,75,0.01,1.0,500,1.0,21.285002,26.800001
2,60000,75,0.001,0.95,500,1.0,79.98499,87.4
3,60000,75,0.001,0.99,500,1.0,74.12,81.4
2,60000,75,0.01,0.99,500,1.0,34.516666,53.2
4,60000,75,0.001,0.9,500,1.0,80.61333,86.799995
1,60000,75,0.005,0.9,500,1.0,78.00166,88.4
2,60000,75,0.001,0.99,500,1.0,74.14167,81.8
4,60000,75,0.001,0.99,500,1.0,74.143326,82.4
1,60000,75,0.005,0.99,500,1.0,51.02,67.6
1,60000,75,0.01,0.99,500,1.0,34.563335,55.800003
2,60000,75,0.01,0.9,500,1.0,75.19001,88.0
4,60000,75,0.001,1.0,500,1.0,68.566666,75.2
3,60000,75,0.005,0.9,500,1.0,77.78333,85.6
2,60000,75,0.005,0.99,500,1.0,51.36,66.799995
2,60000,75,0.01,0.95,500,1.0,67.38,86.0
3,60000,75,0.005,0.95,500,1.0,73.365005,86.2
4,60000,75,0.001,0.95,500,1.0,80.03833,86.799995
3,60000,75,0.001,1.0,500,1.0,68.770004,74.2
2,60000,75,0.001,1.0,500,1.0,68.96667,75.2
1,60000,75,0.001,1.0,500,1.0,69.106674,74.8
2,60000,75,0.005,1.0,500,1.0,36.156666,43.2
0,60000,75,0.005,0.95,500,1.0,73.253334,88.4
1,60000,75,0.005,1.0,500,1.0,35.525,42.0
