random_seed,kernel_size,stride,n_filters,crop,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,20,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,48.413334,48.411667,54.171665,63.200005,63.200005,65.6
0,20,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,44.44833,43.515,51.83667,60.399998,60.399998,62.800003
0,18,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,46.45,46.941666,54.741665,67.2,67.6,67.6
0,18,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,55.09667,55.216667,60.623333,67.6,67.2,70.0
0,18,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,56.06167,56.120003,60.771667,66.799995,68.0,71.6
0,20,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,54.095005,55.056664,59.73667,64.4,65.6,68.4
0,18,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,50.56,50.291668,56.646664,65.6,64.0,70.0
0,20,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,52.908333,52.688335,56.84667,68.0,65.6,69.2
0,20,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,43.441666,44.846664,54.09667,65.200005,65.6,67.2
0,20,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,53.816666,53.435,58.498333,68.4,69.2,72.0
0,20,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,60.246666,60.343334,63.539997,68.4,70.4,71.6
0,18,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,41.933334,42.183334,51.870003,63.200005,63.200005,67.6
0,16,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,55.933334,56.265,62.27833,67.2,66.799995,71.200005
0,20,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,48.686665,48.728333,54.69833,62.0,62.800003,64.8
0,16,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,57.896664,58.956665,63.658333,68.4,69.6,72.799995
0,18,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,57.734997,58.178333,62.958332,66.799995,68.0,72.0
0,20,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,58.271667,59.095005,62.55,70.8,70.4,70.8
0,16,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,56.291664,57.521664,62.178333,66.0,68.0,72.399994
0,18,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,60.138332,60.441666,64.46667,68.8,69.6,72.799995
0,20,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,53.318336,54.883335,60.538334,64.8,66.399994,69.2
0,14,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,56.491665,56.708332,62.765,66.0,66.799995,71.6
0,16,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,50.72667,51.558334,58.58833,62.4,64.4,69.2
0,14,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,57.645,58.268333,63.856667,68.4,69.6,75.6
0,18,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,53.90333,54.741665,61.065002,66.799995,67.6,72.399994
0,14,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,58.503338,59.431664,65.07166,70.0,71.200005,74.8
0,18,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,52.320004,52.345005,57.443333,66.799995,65.6,71.200005
0,14,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,54.125,54.035,61.381664,65.200005,66.0,72.799995
0,12,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,59.315002,60.391666,66.08666,68.0,69.2,74.4
0,12,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,59.22167,60.27333,66.236664,69.2,70.4,75.6
