random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,100,60000,100.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,34.663334,34.921673,38.89,44.4,45.2,51.6
0,100,60000,100.0,100,1.0,0.05,1e-07,0.5,125.0,10,250,33.548332,33.853333,37.678337,47.2,48.4,50.0
0,100,60000,100.0,100,1.0,0.05,1e-07,0.5,100.0,10,250,34.378334,34.256664,37.678333,50.800003,52.399998,54.000004
0,100,60000,100.0,100,1.0,0.05,1e-07,0.5,75.0,10,250,36.178337,36.16167,41.469997,58.8,59.600002,61.6
0,100,60000,100.0,100,1.0,0.05,1e-07,0.5,50.0,10,250,36.811665,37.683334,45.52833,62.0,62.0,61.6
0,100,60000,100.0,200,1.0,0.05,1e-07,0.5,125.0,10,250,38.46333,38.406666,42.956665,52.0,50.800003,56.0
0,100,60000,100.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,44.373337,44.61,48.83667,56.4,56.800003,58.399998
0,100,60000,100.0,200,1.0,0.05,1e-07,0.5,75.0,10,250,45.65,45.80834,51.45333,63.6,63.6,65.6
0,100,60000,100.0,200,1.0,0.05,1e-07,0.5,50.0,10,250,40.646667,41.34667,49.575,61.6,61.6,60.8
0,100,60000,100.0,200,1.0,0.05,1e-07,0.5,150.0,10,250,36.135002,36.183334,40.400005,46.0,46.8,52.0
0,100,60000,100.0,300,1.0,0.05,1e-07,0.5,125.0,10,250,40.765,40.446663,44.63,54.000004,55.199997,57.200005
0,100,60000,100.0,300,1.0,0.05,1e-07,0.5,150.0,10,250,38.045,37.738335,41.938335,51.2,50.0,52.399998
0,100,60000,250.0,100,1.0,0.05,1e-07,0.5,75.0,10,250,43.395004,43.795,46.538334,61.6,61.6,61.199997
0,100,60000,100.0,300,1.0,0.05,1e-07,0.5,100.0,10,250,44.248337,44.193336,48.65333,57.200005,54.4,58.0
