random_seed,kernel_size,stride,n_filters,crop,max_prob,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,12,4,49,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,62.253334,62.945,66.68667,76.8,75.2,80.4
0,12,4,49,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,65.96667,66.675,68.68166,82.0,83.600006,82.4
0,14,4,49,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,46.588333,48.333332,59.501667,67.2,67.2,73.2
0,14,4,100,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,63.803337,64.845,70.75,78.4,77.200005,84.0
0,12,4,49,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,71.276665,72.098335,73.405,86.799995,87.2,89.200005
0,14,4,144,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,73.33167,74.433334,75.55167,85.2,85.6,88.0
0,14,4,49,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,59.816666,60.965,69.83833,76.8,74.8,82.8
0,16,2,49,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,73.31167,73.20167,73.92334,87.6,86.4,90.4
0,14,4,49,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,51.27333,53.1,63.511665,62.800003,65.200005,76.4
0,14,4,144,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,68.893326,69.725,72.715,80.4,80.0,88.0
0,14,4,100,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,71.26167,72.615005,74.755,82.4,83.200005,86.799995
0,14,2,49,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,64.20333,64.40833,66.9,81.2,80.8,82.8
0,14,2,49,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,68.92333,69.01833,72.03666,87.6,86.4,90.0
0,16,2,49,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,63.65333,64.21667,67.36333,82.4,83.200005,84.0
0,14,4,49,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,48.83,50.52333,60.370003,71.6,72.0,76.8
0,12,4,49,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,58.783333,60.119995,67.29833,74.4,76.0,80.4
0,12,4,49,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,69.45999,69.958336,73.729996,88.0,86.799995,90.4
0,14,4,49,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,50.28833,52.113335,58.81,77.600006,76.8,80.4
0,12,4,100,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,71.63667,72.403336,71.95334,86.4,87.2,87.2
0,14,4,100,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,74.231674,75.55,79.075,86.0,88.0,90.4
0,14,4,49,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,42.05167,44.456665,56.135002,58.399998,59.600002,68.8
0,14,2,49,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,71.31999,71.61667,73.183334,88.0,87.2,86.4
0,14,4,100,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,63.593334,64.64333,73.40333,75.6,76.8,85.6
0,14,4,100,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,51.775,53.566666,66.14833,68.4,67.2,82.8
0,12,4,100,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,74.756676,75.29666,74.47834,90.0,90.0,89.200005
0,14,4,144,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,75.566666,76.795006,76.31333,86.4,86.4,94.0
0,14,4,49,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,31.140001,33.765,46.45333,50.4,52.0,60.8
0,14,4,49,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,53.43667,55.535,66.03667,71.200005,74.0,78.0
0,16,2,49,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,69.353325,69.76,73.35334,79.2,80.0,87.6
0,14,4,144,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,76.88167,78.07334,81.403336,87.2,89.200005,91.6
0,14,4,100,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,69.765,70.54666,73.53001,81.2,82.4,86.799995
0,16,2,100,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,77.55,78.005005,78.68,93.2,92.0,94.8
0,14,4,144,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,68.42834,69.865005,76.808334,80.4,81.2,87.6
0,16,2,49,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,57.733334,58.61,66.82167,72.799995,70.8,78.4
0,14,4,49,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,44.318336,46.265,60.123333,71.6,70.8,74.8
0,12,4,144,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,71.285,71.704994,70.270004,85.2,84.799995,86.799995
0,16,2,49,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,47.36,49.83,60.45333,66.799995,68.0,77.200005
0,12,4,144,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,74.43166,75.38,72.829994,89.200005,91.2,87.6
0,12,4,49,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,46.018333,48.243332,60.754997,66.799995,65.200005,76.0
0,12,4,49,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,62.378338,63.548332,70.26667,76.0,76.8,83.600006
0,12,2,49,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,64.10166,64.526665,67.16833,80.0,78.799995,81.6
0,14,2,49,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,70.52833,70.50667,74.15,80.8,81.6,89.600006
0,16,2,49,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,61.530003,62.57833,70.24333,75.6,75.6,82.8
0,14,2,49,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,60.913334,61.578335,66.54667,84.0,80.8,85.2
0,12,2,49,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,67.625,68.16167,70.68001,83.200005,84.799995,86.4
0,14,2,49,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,49.473335,50.933334,58.845005,68.0,66.399994,76.4
