seed,n_train,kernel_size,stride,n_filters,padding,inhib,time,dt,intensity,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,60000,8,4,16,0,100.0,25,1.0,0.5,250,11.753332,11.736667,12.941667,18.4,18.0,20.0
1,60000,12,4,36,0,100.0,25,1.0,0.5,250,10.2316675,10.628332,11.696668,17.2,17.6,18.4
1,60000,12,4,25,0,100.0,25,1.0,0.5,250,30.231665,32.66,31.839998,42.8,43.6,48.4
1,60000,8,4,9,0,100.0,25,1.0,0.5,250,11.281667,11.258333,13.63,16.8,16.8,21.6
1,60000,12,4,16,0,100.0,25,1.0,0.5,250,10.208334,10.47,12.22,17.2,17.6,19.2
1,60000,8,4,25,0,100.0,25,1.0,0.5,250,40.59,42.81,39.666668,52.0,53.600002,58.8
1,60000,12,4,49,0,100.0,25,1.0,0.5,250,10.405,11.0216675,11.64,16.0,17.2,18.0
1,60000,8,4,36,0,100.0,25,1.0,0.5,250,11.886667,11.926666,11.930001,20.0,19.6,18.8
1,60000,8,2,9,0,100.0,25,1.0,0.5,250,11.313333,11.384999,12.316667,16.8,17.2,19.6
1,60000,10,2,9,0,100.0,25,1.0,0.5,250,10.313334,10.6066675,12.073334,16.8,15.6,20.0
1,60000,12,4,64,0,100.0,25,1.0,0.5,250,10.615001,11.498334,11.988332,16.4,17.2,18.0
1,60000,12,4,9,0,100.0,25,1.0,0.5,250,10.138333,10.243333,12.365001,15.2,17.2,18.8
1,60000,10,2,16,0,100.0,25,1.0,0.5,250,10.533334,11.01,11.416667,17.6,16.4,17.2
1,60000,12,2,9,0,100.0,25,1.0,0.5,250,10.616667,10.536668,12.308333,16.8,17.2,20.0
1,60000,12,2,16,0,100.0,25,1.0,0.5,250,10.97,11.016666,11.965,17.2,16.0,18.0
1,60000,14,2,16,0,100.0,25,1.0,0.5,250,10.835,10.865,12.261667,18.8,17.6,19.6
1,60000,8,4,49,0,100.0,25,1.0,0.5,250,11.865001,12.078334,11.826666,19.2,19.6,18.0
1,60000,14,2,9,0,100.0,25,1.0,0.5,250,10.789999,10.818333,12.576666,17.2,17.2,18.8
1,60000,4,4,16,0,100.0,25,1.0,0.5,250,11.758333,11.771667,11.961668,19.6,19.6,19.2
1,60000,4,4,9,0,100.0,25,1.0,0.5,250,10.908334,10.931667,12.573334,16.4,17.2,18.0
1,60000,4,4,25,0,100.0,25,1.0,0.5,250,45.018333,47.48667,45.085003,58.0,59.2,61.6
1,60000,6,2,9,0,100.0,25,1.0,0.5,250,15.308333,15.741667,14.61,23.199999,24.0,22.8
1,60000,8,4,9,0,100.0,50,1.0,0.5,250,9.706667,9.758333,14.180001,17.6,17.6,20.800001
1,60000,12,4,81,0,100.0,25,1.0,0.5,250,11.134999,12.071668,12.094999,17.6,19.6,17.6
1,60000,8,4,64,0,100.0,25,1.0,0.5,250,12.141666,12.2716675,11.716666,20.0,20.0,18.0
1,60000,8,4,16,0,100.0,50,1.0,0.5,250,11.580001,11.596666,13.248333,18.4,18.0,19.2
1,60000,12,4,9,0,100.0,50,1.0,0.5,250,9.678332,9.655,11.788334,15.2,15.2,18.0
1,60000,12,4,16,0,100.0,50,1.0,0.5,250,10.391666,10.651667,12.258333,14.8,15.6,18.8
1,60000,8,2,16,0,100.0,25,1.0,0.5,250,11.58,11.6466675,11.830001,17.2,18.0,18.8
1,60000,4,4,36,0,100.0,25,1.0,0.5,250,12.006667,12.021667,11.6866665,16.8,17.2,18.4
1,60000,12,4,36,0,100.0,50,1.0,0.5,250,10.22,10.67,11.678332,14.8,15.6,17.6
1,60000,12,4,25,0,100.0,50,1.0,0.5,250,29.088335,31.123333,31.691668,40.4,44.800003,47.600002
1,60000,12,2,25,0,100.0,25,1.0,0.5,250,34.506664,37.27333,27.005001,52.0,53.600002,42.399998
1,60000,6,2,16,0,100.0,25,1.0,0.5,250,15.259999,15.806667,12.915,25.2,26.800001,20.4
1,60000,8,4,25,0,100.0,50,1.0,0.5,250,31.218334,32.76,32.961666,42.8,46.0,49.2
1,60000,14,2,25,0,100.0,25,1.0,0.5,250,28.156668,31.008333,24.826668,40.0,42.0,38.0
1,60000,12,4,49,0,100.0,50,1.0,0.5,250,10.1,10.056667,11.37,17.2,18.4,16.4
1,60000,14,2,36,0,100.0,25,1.0,0.5,250,11.8116665,11.903334,13.059999,18.8,18.8,19.2
1,60000,10,2,9,0,100.0,50,1.0,0.5,250,10.321667,10.631667,12.933333,16.4,16.4,20.800001
1,60000,12,2,9,0,100.0,50,1.0,0.5,250,10.175,10.156667,12.1066675,16.0,15.6,19.6
1,60000,10,2,25,0,100.0,25,1.0,0.5,250,39.653336,41.958332,28.066668,55.199997,55.199997,43.6
1,60000,14,2,9,0,100.0,50,1.0,0.5,250,10.281667,10.3116665,12.29,16.8,16.8,18.8
1,60000,12,2,16,0,100.0,50,1.0,0.5,250,10.7683325,10.721667,12.263333,16.8,16.8,20.0
1,60000,8,4,36,0,100.0,50,1.0,0.5,250,11.968333,12.126666,12.203333,17.6,18.0,19.6
1,60000,12,4,100,0,100.0,25,1.0,0.5,250,32.145,34.123333,22.755001,42.8,49.2,36.8
1,60000,8,4,49,0,100.0,50,1.0,0.5,250,10.788334,10.803333,11.213333,18.8,18.4,17.2
1,60000,12,4,64,0,100.0,50,1.0,0.5,250,10.298334,10.831667,11.6066675,15.6,16.0,18.4
1,60000,4,4,9,0,100.0,50,1.0,0.5,250,11.273334,11.318333,12.948334,16.8,16.4,20.0
