random_seed,kernel_size,stride,n_filters,crop,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,8,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,71.35167,73.35667,80.41501,87.2,88.8,89.200005
0,12,4,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,73.53667,74.775,77.85667,85.6,86.0,89.200005
0,8,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,70.61167,73.04666,79.91834,84.799995,86.0,90.8
0,8,4,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,66.810005,68.115,76.31334,78.799995,80.4,86.799995
0,12,4,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,75.62,76.975,80.378334,88.0,88.0,92.4
0,12,4,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,74.0,75.66167,79.55,85.6,86.0,89.600006
0,12,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,78.3,79.558334,82.39333,90.8,91.6,93.2
0,12,2,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,74.765,74.57,76.97334,88.0,89.200005,90.0
0,16,2,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,72.729996,73.45334,73.246666,87.6,86.799995,88.0
0,12,4,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,81.66333,82.97834,85.695,91.2,92.799995,95.200005
0,12,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,75.07166,76.175,80.075,87.6,89.600006,92.4
0,12,4,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,80.82833,82.506676,85.39834,92.0,93.2,94.4
0,16,2,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,68.189995,69.74334,72.57334,84.799995,85.6,85.2
0,12,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,76.805,77.58,80.50166,86.0,88.0,91.6
0,12,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,76.075,77.14,81.70667,87.6,90.4,90.8
0,12,4,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,80.78001,81.67333,84.70167,92.799995,92.4,95.200005
0,12,4,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,77.80666,79.36333,83.155,88.8,89.200005,94.4
0,12,2,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,75.115005,75.00667,77.62667,89.600006,88.8,91.2
0,16,2,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,51.941666,54.728333,64.15833,78.0,77.200005,82.4
0,12,4,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,74.878334,76.245,82.18,84.4,86.0,92.799995
0,12,4,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,79.92667,80.95,83.831665,90.4,90.4,92.799995
0,12,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,62.44833,65.15333,74.791664,78.799995,78.4,85.2
0,12,4,49,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,80.82834,81.715,84.07166,89.600006,91.2,92.0
0,8,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,70.845,72.314995,79.87667,82.4,84.0,93.2
0,12,4,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,82.78166,84.02,86.64167,92.799995,94.4,95.200005
0,16,2,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,72.155,72.28333,72.635,87.6,86.4,92.0
0,8,4,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,50.548332,53.723335,66.445,77.600006,76.0,82.8
0,16,2,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,72.433334,71.99333,72.55999,84.4,83.600006,87.2
0,8,4,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,70.12334,71.925,80.195,86.799995,87.6,91.6
0,8,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,73.345,74.604996,81.543335,88.4,90.8,91.6
0,8,4,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,77.416664,78.875,84.51501,89.600006,90.0,94.0
0,16,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,74.28667,75.041664,75.46667,87.2,87.2,86.799995
0,16,2,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,72.21334,71.854996,72.95166,84.0,86.0,83.200005
0,8,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,57.845005,61.33,72.585,75.6,76.8,83.200005
0,12,4,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,82.153336,83.77,86.405,92.799995,93.2,95.200005
0,8,4,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,75.89666,77.270004,82.65833,88.0,87.6,93.6
0,16,2,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,66.22833,66.95334,70.878334,78.799995,78.0,83.600006
0,16,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,71.04834,71.13,70.753334,83.600006,83.600006,84.4
0,16,4,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,75.51833,76.454994,77.415,88.4,87.6,90.8
0,16,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,72.28,72.52332,75.32834,82.0,82.4,86.0
0,12,4,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,76.635,78.75833,83.39001,87.2,87.6,93.2
0,16,4,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,60.251667,61.881664,63.613335,84.4,84.4,81.6
0,16,2,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,78.35166,79.37334,80.235,91.6,90.8,92.799995
0,8,4,49,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,74.69333,76.454994,82.94666,88.0,90.8,94.0
0,8,4,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,72.284996,73.78833,81.604996,86.799995,89.200005,96.0
0,8,4,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,67.47667,69.53333,79.1,80.4,80.8,89.600006
0,12,2,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,74.659996,74.3,76.64001,89.600006,89.200005,91.2
0,12,2,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,78.94834,79.07333,81.81333,90.8,90.0,91.2
0,8,4,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,77.416664,78.920006,84.99167,92.799995,92.799995,96.4
0,8,4,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,70.10334,72.225,77.778336,81.2,83.200005,88.0
0,8,4,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,62.84,64.28,74.62667,75.6,75.6,84.4
0,8,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,59.370003,61.308334,72.38333,74.0,76.4,83.200005
0,8,4,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,71.534996,73.746666,81.47667,87.2,88.0,93.2
0,12,4,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,76.619995,77.560005,81.805,92.4,92.799995,96.8
0,16,2,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,76.59167,77.585,79.65833,88.4,91.2,90.8
0,16,2,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,69.708336,70.76333,76.45167,79.6,80.8,88.0
0,16,2,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,77.204994,78.778336,82.204994,85.2,88.0,92.4
0,8,4,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,55.145004,57.565002,71.66333,74.4,76.0,84.0
0,12,4,49,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,81.655,82.65,84.97667,92.799995,92.4,94.0
0,16,4,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,79.48333,80.30166,81.58834,89.600006,89.600006,92.0
0,12,2,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,66.83666,66.85,72.153336,79.2,80.0,83.600006
0,16,4,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,78.64,79.78167,81.685005,91.6,94.4,94.8
0,16,2,100,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,84.285,85.01501,85.653336,94.0,94.4,94.4
0,16,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,56.225,58.338333,67.170006,76.0,78.4,82.8
0,16,4,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,75.01667,75.43833,76.635,90.8,90.8,91.2
0,8,2,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,72.43667,72.90833,77.73333,88.0,88.4,93.2
