random_seed,n_neurons,n_train,excite,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
2,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,81.17083333333333,81.76666666666667,92,92
2,225,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,80.96666666666667,81.27916666666667,91,92
2,225,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,80.96666666666667,81.27916666666667,91,92
1,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,81.64583333333333,82.18333333333334,93,93
2,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,81.17083333333333,81.76666666666667,92,92
1,225,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,80.875,81.375,91,92
1,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,81.64583333333333,82.18333333333334,93,93
1,225,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,80.875,81.375,91,92
1,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,82.02916666666667,82.46666666666667,93,93
1,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,81.64583333333333,82.18333333333334,93,93
1,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,82.02916666666667,82.46666666666667,93,93
2,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,81.46666666666667,82.02083333333333,92,92
2,225,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,81.0375,81.85416666666667,92,93
2,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,81.17083333333333,81.76666666666667,92,92
2,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,81.46666666666667,82.02083333333333,92,92
2,225,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,81.0375,81.85416666666667,92,93
2,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,81.46666666666667,82.02083333333333,92,92
1,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,82.02916666666667,82.46666666666667,93,93
