random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,16,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,62.59583333333333,63.4875,77,78
1,16,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,68.24583333333334,68.73333333333333,82,82
1,16,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.85833333333333,69.39166666666667,84,82
2,16,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,68.875,69.15,86,83
2,16,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.93333333333333,62.645833333333336,78,77
2,16,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,60.84166666666667,62.0875,76,78
2,16,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.37916666666666,69.05833333333334,82,82
1,16,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,75.075,75.1,92,90
1,16,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,62.641666666666666,63.2375,75,74
1,16,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.06666666666666,73.97916666666667,89,88
2,16,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.48333333333333,74.34166666666667,89,90
1,12,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,70.7625,71.7125,84,85
1,12,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,70.14166666666667,71.3,88,88
2,16,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,73.625,73.975,90,90
1,16,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,60.40416666666667,61.67916666666667,81,79
2,12,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,70.81666666666666,72.05,88,88
2,12,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,70.7875,71.8625,86,88
1,12,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.275,62.36666666666667,74,73
2,16,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.29166666666667,67.37916666666666,78,80
1,12,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.98333333333333,69.12083333333334,80,81
1,16,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,50.1,49.9625,68,66
2,12,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.15,62.67916666666667,76,76
1,16,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.37916666666666,76.475,93,92
1,16,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,76.86666666666666,76.90833333333333,93,93
2,16,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,63.795833333333334,63.65833333333333,76,75
2,16,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.66666666666667,76.68333333333334,93,92
1,16,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.00833333333334,70.93333333333334,90,88
2,16,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,76.64583333333333,76.81666666666666,89,90
1,16,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.49583333333334,67.65416666666667,81,80
1,12,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.35,75.2375,91,92
1,12,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,56.7,58.25833333333333,77,74
2,12,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,57.17916666666667,57.90833333333333,73,73
1,12,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,73.64166666666667,74.45416666666667,89,91
1,12,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,74.4375,75.37083333333334,92,92
2,12,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.4625,68.35416666666667,78,82
2,12,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.4875,75.62916666666666,95,96
2,12,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,73.725,74.37916666666666,90,91
1,12,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.2875,62.775,76,76
2,16,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.6375,71.56666666666666,91,87
2,16,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,63.333333333333336,62.45,78,77
1,16,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,63.5,62.233333333333334,79,73
2,12,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.770833333333336,63.00833333333333,72,73
1,8,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,59.65833333333333,59.97083333333333,78,75
1,8,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,59.2625,59.6,72,71
1,16,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,62.09166666666667,61.0875,76,74
2,16,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,62.18333333333333,61.22083333333333,80,73
2,8,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,59.5375,60.1125,73,72
2,8,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,59.733333333333334,60.520833333333336,74,74
2,12,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,74.68333333333334,75.725,90,92
2,16,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,49.075,48.46666666666667,66,63
3,8,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,59.733333333333334,60.71666666666667,76,79
3,16,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,62.425,63.079166666666666,74,75
3,16,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,62.3875,63.0375,78,76
1,12,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,76.64166666666667,76.99583333333334,94,93
1,8,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,64.18333333333334,65.07083333333334,80,80
3,8,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,60.15,61.016666666666666,77,78
2,8,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,65.57916666666667,66.74166666666666,80,80
2,8,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,64.84166666666667,66.00416666666666,78,77
1,8,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,65.45,66.1625,80,80
3,16,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.84583333333333,69.32083333333334,82,84
2,8,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,64.1625,65.09166666666667,78,78
1,12,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,75.64166666666667,76.27083333333333,91,90
1,12,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.025,76.80416666666666,92,91
3,8,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,65.09583333333333,66.28333333333333,83,82
3,8,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,65.19166666666666,66.30416666666666,82,81
3,16,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.275,69.35416666666667,82,81
3,8,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,59.541666666666664,60.25,77,76
3,8,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,63.6125,64.36666666666666,78,79
2,8,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,59.525,60.2,76,79
