random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,18,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.08333333333333,79.20833333333333,91,90
4,18,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.20833333333333,83.6125,93,94
3,18,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.0875,83.27083333333333,93,94
3,18,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.86666666666666,85.10416666666667,93,93
4,18,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.84583333333333,84.92083333333333,93,93
2,18,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.35,83.5875,94,94
1,18,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.49583333333334,79.74583333333334,93,93
2,18,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.92083333333333,85.0875,94,94
4,18,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.66666666666667,85.97083333333333,94,94
3,18,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.72083333333333,86.12916666666666,96,96
1,16,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.675,78.6375,92,92
1,14,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.34583333333333,79.525,92,91
1,18,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.6125,80.62916666666666,94,94
2,18,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.37083333333334,85.65833333333333,93,93
1,18,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.325,81.54166666666667,90,90
2,18,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.29583333333333,86.61666666666666,98,98
2,14,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.26666666666667,79.0875,90,90
1,16,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.4,79.27916666666667,92,92
5,14,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.95,82.475,93,93
3,16,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.925,82.26666666666667,93,92
1,14,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.1125,80.34166666666667,92,92
2,16,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.88333333333334,82.14166666666667,94,92
1,18,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.82916666666667,81.8625,92,92
4,16,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.72083333333333,82.0625,92,92
2,18,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.99583333333334,87.25416666666666,95,96
2,14,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.6875,79.87083333333334,92,92
3,16,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.89583333333333,83.2,94,94
3,18,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.02916666666667,87.27916666666667,96,96
4,18,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.11666666666666,87.475,96,95
3,14,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.32916666666667,83.69166666666666,96,94
4,14,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.5625,83.92916666666666,94,94
4,16,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.00833333333334,83.475,94,93
2,12,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.20416666666667,79.42083333333333,94,94
3,18,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.61666666666666,87.0375,96,96
2,14,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.7125,80.99583333333334,92,91
2,16,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.2125,84.60833333333333,95,94
1,18,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.27916666666667,82.46666666666667,92,92
3,18,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.8875,88.15416666666667,96,96
4,18,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.4375,86.55833333333334,95,95
4,18,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.77083333333333,88.07083333333334,96,97
4,14,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.825,82.4875,91,92
3,14,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.725,85.13333333333334,96,95
1,16,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.5875,79.38333333333334,91,91
4,14,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.29166666666667,84.76666666666667,94,94
5,14,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.1875,83.84166666666667,93,93
