random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,200,60000,500.0,300,1.0,0.05,1e-07,0.0,63.75,10,250,0.5,80.575,80.98667,80.60833,92.0,92.4,92.4
1,200,60000,500.0,300,1.0,0.05,1e-07,0.05,63.75,10,250,0.5,81.44333,81.77166,81.630005,91.2,91.2,91.2
1,200,60000,500.0,300,1.0,0.05,1e-07,0.02,63.75,10,250,0.5,80.66167,81.03333,80.76833,91.2,91.2,91.2
1,200,60000,500.0,300,1.0,0.05,1e-07,0.03,63.75,10,250,0.5,80.6,80.954994,80.880005,92.4,92.4,92.799995
1,200,60000,500.0,300,1.0,0.05,1e-07,0.08,63.75,10,250,0.5,79.560005,79.89834,79.82834,90.0,89.600006,90.0
1,200,60000,500.0,300,1.0,0.05,1e-07,0.12,63.75,10,250,0.5,77.61333,77.83833,77.541664,87.2,86.799995,86.799995
1,200,60000,500.0,300,1.0,0.05,1e-07,0.1,63.75,10,250,0.5,77.72,78.096664,77.855,88.0,89.200005,88.4
1,200,60000,500.0,300,1.0,0.05,1e-07,0.04,63.75,10,250,0.5,79.95167,80.333336,80.183334,91.6,91.6,91.2
1,200,60000,500.0,300,1.0,0.05,1e-07,0.11,63.75,10,250,0.5,77.82834,78.18499,78.11833,88.8,90.0,89.200005
1,200,60000,500.0,300,1.0,0.05,1e-07,0.06,63.75,10,250,0.5,78.865005,79.31333,79.07667,90.8,91.2,90.4
1,200,60000,500.0,300,1.0,0.05,1e-07,0.09,63.75,10,250,0.5,79.093346,79.42333,79.21667,87.6,88.0,88.0
1,200,60000,500.0,300,1.0,0.05,1e-07,0.14,63.75,10,250,0.5,76.175,76.48667,76.170006,86.799995,86.4,85.2
1,200,60000,500.0,300,1.0,0.05,1e-07,0.15,63.75,10,250,0.5,74.87667,75.20167,75.079994,86.799995,87.2,86.4
1,100,60000,500.0,300,1.0,0.05,1e-07,0.01,63.75,10,250,0.5,75.40666,75.683334,76.12667,88.0,88.0,87.2
1,200,60000,500.0,300,1.0,0.05,1e-07,0.18,63.75,10,250,0.5,70.69667,71.03667,70.8,81.2,81.2,82.0
1,200,60000,500.0,300,1.0,0.05,1e-07,0.2,63.75,10,250,0.5,67.668335,68.045,67.683334,79.6,79.2,77.200005
1,200,60000,500.0,300,1.0,0.05,1e-07,0.23,63.75,10,250,0.5,60.018333,60.34833,59.608334,72.799995,72.0,70.0
1,200,60000,500.0,300,1.0,0.05,1e-07,0.24,63.75,10,250,0.5,55.12,55.57333,54.958332,72.0,72.399994,70.8
1,200,60000,500.0,300,1.0,0.05,1e-07,0.19,63.75,10,250,0.5,70.03667,70.39666,69.93666,78.4,78.4,80.8
1,200,60000,500.0,300,1.0,0.05,1e-07,0.25,63.75,10,250,0.5,51.506664,51.871666,51.11167,66.399994,67.2,65.200005
1,200,60000,500.0,300,1.0,0.05,1e-07,0.16,63.75,10,250,0.5,73.83167,74.16166,74.0,85.2,84.799995,84.4
1,200,60000,500.0,300,1.0,0.05,1e-07,0.48,63.75,10,250,0.5,9.911666,9.930001,10.06,16.8,16.8,16.4
1,200,60000,500.0,300,1.0,0.05,1e-07,0.26,63.75,10,250,0.5,45.465,45.943336,45.228336,65.200005,66.799995,62.4
1,200,60000,500.0,300,1.0,0.05,1e-07,0.47,63.75,10,250,0.5,10.093334,10.101666,10.426668,16.0,15.6,16.0
1,100,60000,500.0,300,1.0,0.05,1e-07,0.07,63.75,10,250,0.5,68.64834,68.915,69.79833,87.6,88.8,87.6
1,300,60000,500.0,300,1.0,0.05,1e-07,0.0,63.75,10,250,0.5,80.17166,80.645004,80.41166,93.2,93.2,93.6
1,300,60000,500.0,300,1.0,0.05,1e-07,0.06,63.75,10,250,0.5,80.03833,80.420006,79.91333,92.4,92.4,92.799995
1,300,60000,500.0,300,1.0,0.05,1e-07,0.02,63.75,10,250,0.5,80.458336,80.895004,80.520004,93.6,93.6,93.6
1,300,60000,500.0,300,1.0,0.05,1e-07,0.05,63.75,10,250,0.5,80.825,81.17834,80.97,92.4,92.799995,92.4
1,200,60000,500.0,300,1.0,0.05,1e-07,0.45,63.75,10,250,0.5,10.056667,10.038333,10.148334,15.2,15.2,15.2
1,300,60000,500.0,300,1.0,0.05,1e-07,0.15,63.75,10,250,0.5,79.24667,79.45167,79.08833,88.8,89.200005,89.200005
1,200,60000,500.0,300,1.0,0.05,1e-07,0.27,63.75,10,250,0.5,38.906666,39.4,38.671665,58.0,58.0,59.2
1,200,60000,500.0,300,1.0,0.05,1e-07,0.5,63.75,10,250,0.5,9.884999,9.891666,10.026667,15.2,15.2,16.0
1,300,60000,500.0,300,1.0,0.05,1e-07,0.14,63.75,10,250,0.5,78.04833,78.36333,77.99333,88.4,88.4,88.4
1,300,60000,500.0,300,1.0,0.05,1e-07,0.2,63.75,10,250,0.5,72.14001,72.46167,71.69334,83.600006,84.0,83.600006
1,300,60000,500.0,300,1.0,0.05,1e-07,0.17,63.75,10,250,0.5,76.02333,76.28333,75.831665,84.799995,84.799995,84.0
1,200,60000,500.0,300,1.0,0.05,1e-07,0.49,63.75,10,250,0.5,9.898334,9.88,10.085,14.8,14.4,15.6
1,300,60000,500.0,300,1.0,0.05,1e-07,0.21,63.75,10,250,0.5,69.39,69.70166,68.89167,80.8,81.2,80.4
1,300,60000,500.0,300,1.0,0.05,1e-07,0.19,63.75,10,250,0.5,73.38,73.65666,72.97334,82.4,82.4,82.0
1,200,60000,500.0,300,1.0,0.05,1e-07,0.01,63.75,10,250,0.5,80.67667,81.079994,80.74167,92.4,92.4,91.6
1,300,60000,500.0,300,1.0,0.05,1e-07,0.23,63.75,10,250,0.5,66.03,66.46834,65.14666,78.0,78.0,76.0
1,100,60000,500.0,300,1.0,0.05,1e-07,0.08,63.75,10,250,0.5,68.005,68.253334,68.98833,84.4,84.799995,84.0
1,300,60000,500.0,300,1.0,0.05,1e-07,0.25,63.75,10,250,0.5,59.506664,59.84833,58.453335,74.0,74.8,72.0
1,200,60000,500.0,300,1.0,0.05,1e-07,0.22,63.75,10,250,0.5,63.315,63.71,63.054996,74.8,75.6,73.6
1,300,60000,500.0,300,1.0,0.05,1e-07,0.26,63.75,10,250,0.5,55.28833,55.70333,54.238335,66.399994,66.799995,67.2
