seed,n_hidden,n_train,time,lr,lr_decay,update_interval,mean_accuracy,max_accuracy
0,32,60000,10,0.025,1.0,500,27.865,74.6
1,32,60000,10,0.025,0.995,500,13.826666,66.6
1,32,60000,10,0.025,0.99,500,14.256667,69.4
1,32,60000,10,0.025,1.0,500,13.535,66.799995
1,64,60000,10,0.01,1.0,500,83.89833,89.200005
0,64,60000,10,0.01,0.99,500,85.06333,90.8
0,64,60000,10,0.0075,1.0,500,84.0,90.0
0,64,60000,10,0.025,1.0,500,75.36167,82.4
0,64,60000,10,0.01,0.9,500,84.57,89.8
0,64,60000,10,0.0075,0.9,500,82.965004,88.6
0,64,60000,10,0.0075,0.995,500,84.43166,90.8
0,64,60000,10,0.01,0.995,500,84.59167,91.0
0,32,60000,10,0.025,0.995,500,46.880005,77.600006
0,64,60000,10,0.025,0.95,500,86.191666,91.399994
0,64,60000,10,0.01,1.0,500,83.94333,89.8
0,64,60000,10,0.0075,0.99,500,84.66167,90.4
0,64,60000,10,0.025,0.99,500,82.791664,90.0
0,64,60000,10,0.025,0.9,500,86.281654,92.6
0,64,60000,10,0.0075,0.95,500,84.53333,91.0
0,32,60000,10,0.0075,1.0,500,80.51667,86.4
0,32,60000,10,0.025,0.9,500,83.840004,89.200005
0,32,60000,10,0.01,0.9,500,82.545006,87.8
0,32,60000,10,0.025,0.95,500,82.92834,88.6
0,32,60000,10,0.01,0.995,500,81.10833,86.4
0,32,60000,10,0.0075,0.95,500,82.55501,88.6
1,32,60000,10,0.0075,0.99,500,82.420006,89.8
0,32,60000,10,0.0075,0.99,500,81.833336,87.2
1,32,60000,10,0.01,1.0,500,80.365,85.399994
1,32,60000,10,0.01,0.95,500,83.52332,90.200005
0,32,60000,10,0.0075,0.9,500,80.73833,87.4
1,32,60000,10,0.0075,0.995,500,81.916664,89.4
1,64,60000,10,0.0075,0.9,500,83.54333,89.200005
0,32,60000,10,0.01,0.99,500,81.645004,87.0
1,32,60000,10,0.0075,0.9,500,81.348335,87.4
1,32,60000,10,0.025,0.9,500,79.87,85.6
1,32,60000,10,0.01,0.99,500,82.00833,89.600006
1,64,60000,10,0.0075,0.95,500,84.69666,91.0
1,32,60000,10,0.01,0.9,500,82.35166,87.6
0,32,60000,10,0.01,1.0,500,80.17166,85.0
0,32,60000,10,0.0075,0.995,500,81.276665,87.0
0,64,60000,10,0.01,0.95,500,85.445,90.8
0,32,60000,10,0.01,0.95,500,83.255,88.6
0,64,60000,10,0.025,0.995,500,80.82,87.0
1,32,60000,10,0.0075,0.95,500,83.003334,89.0
1,32,60000,10,0.01,0.995,500,81.39001,88.4
1,64,60000,10,0.01,0.995,500,84.560005,91.6
0,128,60000,10,0.0075,0.99,500,85.46167,92.0
0,128,60000,10,0.01,1.0,500,85.058334,90.6
0,128,60000,10,0.01,0.99,500,85.986664,92.2
0,128,60000,10,0.0075,0.95,500,85.381676,90.8
0,128,60000,10,0.0075,1.0,500,84.975,90.8
0,128,60000,10,0.01,0.995,500,85.625,91.0
0,128,60000,10,0.025,0.99,500,84.14001,90.4
0,128,60000,10,0.0075,0.9,500,83.91,89.8
0,128,60000,10,0.01,0.9,500,85.43833,90.6
0,128,60000,10,0.025,0.95,500,87.003334,92.2
0,256,60000,10,0.01,0.9,500,85.70333,91.0
0,256,60000,10,0.025,0.99,500,84.34167,91.0
0,256,60000,10,0.01,0.995,500,85.63833,92.2
0,128,60000,10,0.025,1.0,500,76.666664,83.600006
0,256,60000,10,0.025,0.95,500,87.191666,92.4
0,256,60000,10,0.0075,0.99,500,85.41333,91.6
0,256,60000,10,0.025,0.995,500,82.128334,88.0
0,256,60000,10,0.01,0.95,500,86.00833,91.6
0,256,60000,10,0.025,1.0,500,48.58667,84.6
0,256,60000,10,0.0075,1.0,500,84.91501,91.799995
0,256,60000,10,0.01,1.0,500,85.24,90.8
0,256,60000,10,0.0075,0.95,500,85.775,91.399994
0,256,60000,10,0.0075,0.9,500,84.490005,89.8
0,32,60000,10,0.025,0.99,500,57.478336,78.4
1,64,60000,10,0.01,0.99,500,84.94666,91.799995
0,256,60000,10,0.0075,0.995,500,85.20833,91.399994
1,64,60000,10,0.0075,1.0,500,83.956665,91.0
1,64,60000,10,0.0075,0.995,500,84.36,91.0
1,64,60000,10,0.01,0.95,500,85.29667,90.8
1,64,60000,10,0.0075,0.99,500,84.56501,92.6
1,32,60000,10,0.0075,1.0,500,81.229996,89.0
0,512,60000,10,0.0075,0.99,500,84.814995,91.799995
0,256,60000,10,0.025,0.9,500,87.27666,92.2
0,256,60000,10,0.01,0.99,500,85.825,92.2
1,32,60000,10,0.025,0.95,500,28.458334,71.4
0,512,60000,10,0.01,0.9,500,85.27334,89.8
0,512,60000,10,0.025,0.99,500,83.75666,90.6
0,128,60000,10,0.0075,0.995,500,85.21333,91.0
0,512,60000,10,0.0075,1.0,500,84.49834,90.8
0,512,60000,10,0.01,1.0,500,84.75,90.200005
0,512,60000,10,0.01,0.995,500,85.42334,91.799995
0,512,60000,10,0.0075,0.995,500,84.68,92.0
0,512,60000,10,0.025,0.9,500,87.29,92.6
0,512,60000,10,0.01,0.95,500,85.715,90.6
0,512,60000,10,0.025,0.995,500,78.78666,84.6
0,512,60000,10,0.0075,0.95,500,85.37833,91.6
0,512,60000,10,0.01,0.99,500,85.54001,92.6
0,128,60000,10,0.025,0.9,500,87.15,92.2
0,512,60000,10,0.025,1.0,500,75.06167,83.4
0,512,60000,10,0.0075,0.9,500,84.39,90.200005
1,64,60000,10,0.01,0.9,500,84.7,89.8
0,512,60000,10,0.025,0.95,500,87.12334,92.6
1,32,60000,25,0.025,0.99,500,12.756667,63.800003
1,32,60000,25,0.025,0.995,500,13.413334,63.4
0,32,60000,25,0.025,0.995,500,28.201666,76.4
0,32,60000,25,0.025,1.0,500,32.913334,76.8
1,64,60000,10,0.025,0.99,500,76.73833,84.0
1,64,60000,10,0.025,1.0,500,30.656668,77.0
1,64,60000,10,0.025,0.9,500,85.41833,90.6
1,32,60000,25,0.025,0.95,500,20.833334,66.6
1,64,60000,10,0.025,0.95,500,85.11167,91.2
0,64,60000,25,0.025,0.9,500,86.70667,91.6
1,64,60000,10,0.025,0.995,500,62.220005,81.6
0,64,60000,25,0.025,0.995,500,80.61167,86.6
0,64,60000,25,0.01,0.95,500,85.903336,91.6
0,32,60000,25,0.0075,0.99,500,82.80666,87.8
0,32,60000,25,0.0075,0.995,500,82.073326,87.6
0,32,60000,25,0.025,0.99,500,70.865,82.0
0,32,60000,25,0.025,0.9,500,84.67166,89.600006
0,32,60000,25,0.01,0.95,500,84.14832,89.8
0,64,60000,25,0.0075,0.995,500,84.829994,91.0
0,32,60000,25,0.0075,0.9,500,82.11667,88.6
0,64,60000,25,0.01,1.0,500,84.384995,90.0
0,32,60000,25,0.01,0.99,500,82.40833,87.8
0,64,60000,25,0.0075,0.99,500,85.12667,91.6
0,32,60000,25,0.01,0.9,500,83.56167,88.4
0,64,60000,25,0.0075,0.9,500,83.89167,89.4
0,64,60000,25,0.01,0.99,500,85.420006,91.399994
0,32,60000,25,0.01,1.0,500,80.68667,87.2
0,64,60000,25,0.01,0.9,500,85.121666,89.600006
